"","TIME","STATIONID","year","survey","station","SPECIESTSN","COMMONNAME","SCIENTIFICNAME","LHSCODE","SAMPLINGMETHODCODE","TOTALCATCHNUM","TOTALCATCHWT","GEARCODE","EVENTCODE","LME","STATIONNUMBER","YEAR","MASTERSTATION","TOW_TYPE","GEAR_DESCRIPTION","EQTIME","EQ_LATITUDE","EQ_LONGITUDE","HAULBACK_TIME","HAULBACK_LATITUDE","HAULBACK_LONGITUDE","SPEED","BOTTOM_DEPTH","AVGNETHORIZONTALOPENING","AVGNETVERTICALOPENING","MWO","RACECODE","NODCCODE","NOTES","GEARIN_TIME","GEARIN_LATITUDE","GEARIN_LONGITUDE","VESSEL","VESSELNAME","GEAR_DEPTH","GEAROUT_LATITUDE","GEAROUT_LONGITUDE","GEAROUT_TIME"
"1","2023-09-07T04:28:00Z","20230201022","2023","0201","022","622287","Arctic Lamprey","Lethenteron camtschaticum","U","TC",2,144,"400601","05","Bering Sea",22,2023,"62-169","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T03:58:00Z",61.99,-169,"2023-09-07T04:28:00Z",61.98,-169.07,NA,32,53.85,23.72,"330",NA,"8603010201",NA,NA,0,0,NA,NA,NA,0,0,NA
"2","2023-09-07T04:28:00Z","20230201022","2023","0201","022","934083","Pollock","Gadus chalcogrammus","A0","SC",3110.68,7956.2,"400601","05","Bering Sea",22,2023,"62-169","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T03:58:00Z",61.99,-169,"2023-09-07T04:28:00Z",61.98,-169.07,NA,32,53.85,23.72,"330",21740,"8791030701",NA,NA,0,0,NA,NA,NA,0,0,NA
"3","2023-09-07T04:28:00Z","20230201022","2023","0201","022","934083","Pollock","Gadus chalcogrammus","A1","SC",266.25,7622.2,"400601","05","Bering Sea",22,2023,"62-169","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T03:58:00Z",61.99,-169,"2023-09-07T04:28:00Z",61.98,-169.07,NA,32,53.85,23.72,"330",21740,"8791030701",NA,NA,0,0,NA,NA,NA,0,0,NA
"4","2023-09-07T04:28:00Z","20230201022","2023","0201","022","934083","Pollock","Gadus chalcogrammus","A1+","TC",6,3020,"400601","05","Bering Sea",22,2023,"62-169","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T03:58:00Z",61.99,-169,"2023-09-07T04:28:00Z",61.98,-169.07,NA,32,53.85,23.72,"330",21740,"8791030701",NA,NA,0,0,NA,NA,NA,0,0,NA
"5","2023-09-07T17:42:00Z","20230201023","2023","0201","023","51641","Northern Sea Nettle","Chrysaora melanaster","U","TC",20.56,12770,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",40504,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
"6","2023-09-07T17:42:00Z","20230201023","2023","0201","023","82418","Gonatus Squid, unident.","Gonatus","U","TC",2,27,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",79200,NA,NA,NA,0,0,NA,NA,NA,0,0,NA
"7","2023-09-07T17:42:00Z","20230201023","2023","0201","023","161975","Pink Salmon","Oncorhynchus gorbuscha","J","TC",2,120,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",23230,"8755010201",NA,NA,0,0,NA,NA,NA,0,0,NA
"8","2023-09-07T17:42:00Z","20230201023","2023","0201","023","161976","Chum Salmon","Oncorhynchus keta","IM","TC",2,5910,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",23235,"8755010202",NA,NA,0,0,NA,NA,NA,0,0,NA
"9","2023-09-07T17:42:00Z","20230201023","2023","0201","023","161979","Sockeye Salmon","Oncorhynchus nerka","IM","TC",1,360,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",23240,"8755010205",NA,NA,0,0,NA,NA,NA,0,0,NA
"10","2023-09-07T17:42:00Z","20230201023","2023","0201","023","161980","Chinook Salmon","Oncorhynchus tshawytscha","IM","TC",2,5570,"400601","05","Bering Sea",23,2023,"62-170","S","Can Trawl 400 headrope, 601 sidewalls","2023-09-07T17:12:00Z",61.99,-170.02,"2023-09-07T17:42:00Z",61.98,-170.1,NA,39,54.31,22.89,"330",23220,"8755010206",NA,NA,0,0,NA,NA,NA,0,0,NA
